"ホール番号","会員番号","姓","名","姓カナ","名カナ","郵便番号","住所_1","住所_2","住所カナ","電話番号_自宅_1","電話番号_自宅_2","電話番号_自宅_3","電話番号_自宅_内線","電話番号_携帯_1","電話番号_携帯_2","電話番号_携帯_3","EﾒｰﾙｱﾄﾞﾚｽPC","Eﾒｰﾙｱﾄﾞﾚｽ_携帯ドメイン","Eﾒｰﾙｱﾄﾞﾚｽ_携帯アカウント","性別コード","暦フラグ","生年月日","職業コード","機種コード","機種","ＤＭ発行フラグ","備考","入力日"
"1","99999999","アカウント","なし","","","","","","","","","","","","","","","domain","","1","0","","","                                                                                                    ","","1","","2010/10/07 0:00:00"
"1","99999998","ドメイン","なし","","","","","","","","","","","","","","","","ACCOUNT","1","0","","","                                                                                                    ","","1","","2010/10/07 0:00:00"
"1","00001000","自宅空欄１","","","","","住所_1","住所_2","住所カナ","","831","9245","12345","080","4212","24680","","d","a","0","暦フラグ","","","","","","備考",""
"1","00001001","自宅空欄２","","","","","住所_1","住所_2","住所カナ","052","","9245","12345","080","4212","24680","","d","a","0","暦フラグ","","","","","","備考",""
"1","00001003"," ","自宅空欄３","","","","住所_1","住所_2","住所カナ","052","831","","12345","080","4212","24680","","d","a","0","暦フラグ","","","","","","備考",""
"1","00001004","　","自宅空欄４内線なし","","","","住所_1","住所_2","住所カナ","052","831","9245","","080","4212","24680","","d","a","0","暦フラグ","","","","","","備考",""
"1","00001101","自宅・携帯空欄","１","","","","住所_1","住所_2","住所カナ","","831","9245","12345","","4212","24680","","","a","0","暦フラグ","","","","","","備考",""
"1","00001102","自宅・携帯空欄","２","","","","住所_1","住所_2","住所カナ","052","","9245","12345","090","","24680","","d","","0","暦フラグ","","","","","","備考",""
"1","00001103","自宅・携帯空欄","３、メールあり","","","","住所_1","住所_2","住所カナ","052","831","","12345","090","4212","","","d","a","0","暦フラグ","","","","","","備考",""
"1","10","","","全空欄・空文字/０扱いを確認","","","","","","","","","","","","","","","","","","","","                                                                                                    ","","","",""
"1","90000001","てすと,""'","カンマ,""'","ﾃｽﾄ","ｶﾝﾏ","",",""'",",""'",",""'","","","","","","","",",""'@hotmail.com","dokomo.ne.jp",",""'","1","","","","                                                                                                    ","","1",",""'","2010/10/18 0:00:00"

"1","90000002","１行改行","後","","","","","","","","","","","","","","","","","","","","","                                                                                                    ","","","",""
"1","90000003","","","空欄マスタ","","","","","","","","","","","","","","","","","","","","                                                                                                    ","","","",""
"1","00000105","あ"",""123"",","かきくけこ","ｱ""､､""123""､","ｶｷｸｹｺ","","","","","","","","","","","","","","","1","0","","0","                                                                                                    ","","1","","2010/10/21 0:00:00"
"1","106","*","＊","","*","","","","","","","","","","","","","","","1","0","","0","                                                                                                    ","","1","21-10-2010 12:00:00 AM","","0","21-10-2010 12:42:42 PM","21-10-2010 12:42:42 PM",
"1","107","","","Oracleで行追加・ﾎｰﾙ会員番号入れただけ","","","","","","","","","","","","","","","","","","","","","","","","","","","",
